M0,M1,M2,M3,M4,M5,M6,zzM0,zzM1,zzM2,zzM3,zzM4,zzM5,zzM6,driftM0,driftM1,driftM2,driftM3,driftM4,driftM5,driftM6,MassDif_M1,MassDif_M2,MassDif_M3,MassDif_M4,MassDif_M5,MassDif_M6,CumulativeDiff_0,CumulativeDiff_1,CumulativeDiff_2,CumulativeDiff_3,CumulativeDiff_4,CumulativeDiff_5,CumulativeDiff_6,xdrift,mz,rt,cand,class,plant,FN,class_YB,ori_index
2.4746053,2.6815243,,0.6335665,0.0,0.0,0.0,0.0840983938121291,0.05297875678758338,0.08903762432734211,0.027160528950083068,4.0,4.0,4.0,-14,-21,-13,-17,100,100,100,0.999,1.0140000000000002,1.0019999999999998,,,,-0.014,0.985,1.999,3.0010000000000003,,,,10.072240316831204,418.14601802336665,1065.8689575195312,rej3,AL,Alf,N,U,14
369.337,428.3497,365.821,240.368,0.0,0.0,0.0,0.0009530089123586592,0.0007855779769590743,0.0006963635010786652,0.0009105190871780176,4.0,4.0,4.0,2,2,1,1,100,100,100,1.006,1.005,1.0059999999999998,,,,0.002,1.008,2.013,3.0189999999999997,,,,1.4205280708244,418.14601802336665,1065.8689575195312,rej3,BL,Broc,Y,L,15
322.8947,348.8626,265.9099,165.0389,0.0,0.0,0.0,0.0018102796757903067,0.002370871722429469,0.002614922537207119,0.003732680416774023,4.0,4.0,4.0,1,0,0,-1,100,100,100,1.005,1.006,1.005,,,,0.001,1.006,2.012,3.017,,,,1.4606391295137198,418.14601802336665,1065.8689575195312,rej3,BL,Broc,Y,L,16
317.7181,361.7576,275.5831,171.9487,0.0,0.0,0.0,0.0019027969445714445,0.0020515359702939604,0.001525658935255958,0.001620437062348499,4.0,4.0,4.0,2,1,1,0,100,100,100,1.005,1.006,1.005,,,,0.002,1.007,2.013,3.018,,,,0.7794228634060736,418.14601802336665,1065.8689575195312,rej3,BL,Broc,Y,L,17
1.496264,2.344615,2.215797,2.208309,1.18159,0.0,0.0,0.15164713557156134,0.054572815225518816,0.14568887031596506,0.08109267250764028,0.02045159095242937,4.0,4.0,-7,-14,-19,-23,-15,100,100,0.999,1.001,1.0019999999999996,1.0140000000000011,,,-0.006999999999999999,0.992,1.993,2.995,4.009,,,4.516857314549535,417.14168190363455,1066.47,rej4,AL,Alf,N,U,18
1.157195,2.389379,2.779871,3.594093,1.97754,0.0,0.0,0.12042109646946395,0.10098977855931576,0.09569194975289222,0.032546810322952625,0.02887822229270792,4.0,4.0,-4,-18,-18,-23,0,100,100,0.992,1.006,1.0009999999999997,1.0290000000000004,,,-0.004,0.988,1.994,2.995,4.024,,,5.601412321905963,417.14168190363455,1066.47,rej4,AL,Alf,N,U,19
1.5698479,1.5760546,1.6777598000000002,0.9817935,0.974273,0.0,0.0,0.16471747351961824,0.09534840506390878,0.06437369456671928,0.04830828883401532,0.02192402522966115,4.0,4.0,-11,-22,-20,-7,-23,100,100,0.995,1.008,1.0189999999999997,0.9900000000000008,,,-0.011,0.984,1.992,3.011,4.001,,,8.985347516930005,417.14168190363455,1066.47,rej4,AL,Alf,N,U,20
170.8677,369.337,428.3497,365.821,240.368,0.0,0.0,0.0019933661189006848,0.0009741413879067164,0.0008036591884044741,0.0007119380681759014,0.0009311087848569546,4.0,4.0,0,0,0,-1,-1,100,100,1.006,1.006,1.005,1.0059999999999998,,,0.0,1.006,2.012,3.017,4.023,,,1.5738583163678086,417.14168190363455,1066.47,rej4,BL,Broc,Y,L,21
175.3455,322.8947,348.8626,265.9099,165.0389,0.0,0.0,0.002179947248255778,0.0017899908399721407,0.002344331374650503,0.00258534692622223,0.003690792350479592,4.0,4.0,-2,-1,-2,-3,-3,100,100,1.0070000000000001,1.005,1.0049999999999994,1.0060000000000002,,,-0.002,1.005,2.01,3.015,4.021,,,1.368897366496089,417.14168190363455,1066.47,rej4,BL,Broc,Y,L,22
162.6709,317.7181,361.7576,275.5831,171.9487,0.0,0.0,0.003218260002482949,0.0019027160178825653,0.002051650096726598,0.001525776904947436,0.0016210892330993805,4.0,4.0,0,0,-1,-1,-2,100,100,1.006,1.005,1.0059999999999998,1.0050000000000003,,,0.0,1.006,2.011,3.017,4.022,,,1.035195633684807,417.14168190363455,1066.47,rej4,BL,Broc,Y,L,23
4.750045,,138.720495,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,5,-2,4,100,100,100,100,0.999,1.012,,,,,0.005,1.004,2.016,,,,,16.730410435292214,886.6626715241713,1628.430302734375,rej5,AL,Alf,N,U,24
4.518643,3.098338,112.744325,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,1,2,4,100,100,100,100,1.0070000000000001,1.008,,,,,0.001,1.008,2.016,,,,,23.16368350097486,886.6626715241713,1628.430302734375,rej5,AL,Alf,N,U,25
1.790196,4.127603,120.941445,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,-1,-1,4,100,100,100,100,1.006,1.011,,,,,-0.001,1.005,2.016,,,,,21.925232799980282,886.6626715241713,1628.430302734375,rej5,AL,Alf,N,U,26
600.7541,600.6438,675.0924,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,1,-1,0,100,100,100,100,1.0040000000000002,1.007,,,,,0.001,1.005,2.012,,,,,0.0,886.6626715241713,1628.430302734375,rej5,BL,Broc,N,U,27
568.0546,564.6783,600.3485,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,0,-2,-1,100,100,100,100,1.004,1.0070000000000001,,,,,0.0,1.004,2.011,,,,,0.0,886.6626715241713,1628.430302734375,rej5,BL,Broc,N,U,28
439.6664,522.6452,515.4303,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,-2,-4,-4,100,100,100,100,1.004,1.006,,,,,-0.002,1.002,2.008,,,,,0.5946707772652988,886.6626715241713,1628.430302734375,rej5,BL,Broc,N,U,29
,1.729005,536.221269,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,5,-6,5,100,100,100,100,0.995,1.017,,,,,0.005,1.0,2.017,,,,,11.358005986967983,812.6263832932827,1620.7063598632812,rej6,AL,Alf,N,U,30
1.276822,2.788962,136.762734,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,2,-3,4,100,100,100,100,1.001,1.013,,,,,0.002,1.003,2.016,,,,,20.208758002410704,812.6263832932827,1620.7063598632812,rej6,AL,Alf,N,U,31
3.459899,1.886177,265.496039,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,5,-6,3,100,100,100,100,0.995,1.015,,,,,0.005,1.0,2.015,,,,,10.907002337947862,812.6263832932827,1620.7063598632812,rej6,AL,Alf,N,U,32
266.8065,251.7048,422.2509,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,0,-2,2,100,100,100,100,1.004,1.0099999999999998,,,,,0.0,1.004,2.014,,,,,0.0,812.6263832932827,1620.7063598632812,rej6,BL,Broc,N,U,33
292.4336,252.7386,349.4747,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,0,-1,0,100,100,100,100,1.005,1.007,,,,,0.0,1.005,2.012,,,,,0.0,812.6263832932827,1620.7063598632812,rej6,BL,Broc,N,U,34
174.9574,168.4739,228.58,0.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,4.0,-3,-4,-3,100,100,100,100,1.005,1.007,,,,,-0.003,1.002,2.009,,,,,0.0,812.6263832932827,1620.7063598632812,rej6,BL,Broc,N,U,35
10.892892,5.306534,1.446567,0.0,0.0,0.0,0.0,0.047147093290067436,0.15379956733232988,0.16974327073772505,4.0,4.0,4.0,4.0,15,11,1,100,100,100,100,1.002,0.996,,,,,0.015,1.017,2.013,,,,,30.40903867821763,592.1782898835031,1332.7108154296875,rej7,AL,Alf,N,U,36
